dataset_key,dataset_name,model_key,model_name,feature,mean_abs_shap,mean_rank,rank_std,top_k_frequency,folds_observed,consensus_rank
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,AgeCategory_Age_45_to_49,0.0,119.0,0.0,0.0,5,119
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,AgeCategory_Age_50_to_54,0.0,120.0,0.0,0.0,5,120
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,AgeCategory_Age_55_to_59,0.0,121.0,0.0,0.0,5,121
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,AgeCategory_Age_60_to_64,0.0,122.0,0.0,0.0,5,122
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,AgeCategory_Age_65_to_69,0.0,123.0,0.0,0.0,5,123
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,AgeCategory_Age_70_to_74,0.0,124.0,0.0,0.0,5,124
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,AgeCategory_Age_75_to_79,0.0,125.0,0.0,0.0,5,125
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,TetanusLast10Tdap_No_did_not_receive_any_tetanus_shot_in_the_past_10_years,0.0,126.0,0.0,0.0,5,126
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,TetanusLast10Tdap_Yes_received_Tdap,0.0,127.0,0.0,0.0,5,127
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,TetanusLast10Tdap_Yes_received_tetanus_shot_but_not_sure_what_type,0.0,128.0,0.0,0.0,5,128
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,TetanusLast10Tdap_Yes_received_tetanus_shot_but_not_Tdap,0.0,129.0,0.0,0.0,5,129
dataset1,Personal Key Indicators of Heart Disease (2022),adaboost,AdaBoost,CovidPos_No,0.0,130.0,0.0,0.0,5,130
